0,1,2,3
国誉未来悦,56000,230-780,1
运河铭著,49000,490-950,1
鲁能格拉斯小镇,60000,1365-2160,1
首开缇香郡,25000,440-530,1
合景寰汇公馆,45000,480-550,1
K2十里春风,24500,195-222,1
K2十里春风,28000,426-436,1
金隅花石匠,51000,580,0
首开香溪郡,35000,650,1
京贸国际公馆,64000,490-950,1
京贸国际城·峰景,68000,540-930,1
新潮嘉园二期,58000,384,0
远洋悦满街,38000,200,0
珠江阙,72000,2600,0
华业玫瑰东筑,51000,615-730,1
北京东湾,69600,400-1060,0
城市之光·东望,54163,450-800,1
泰晤士印象二期,28000,249-324,1
金悦郡,39000,290-490,1
明月听蘭,58000,690-820,1
鑫苑·盛世天玺,63000,540-800,1
亦庄橡树湾,45000,410-650,1
逸山水,30000,0,0
香溪家园,47500,609,0
春和景明,69600,1100-1600,1
金隅花石匠二期西区,43000,600,0
金融街武夷·融御（二期）,66000,500-1235,1
金地北京壹街区,45000,315-860,1
碧桂园·和世界,56000,308-770,0
