地区,名字,价格,最低总价,最高总价,是否VR看房
昌平,御汤山熙园,40000,1935,8800,1
昌平,翡翠公园,61000,950,1100,1
昌平,北科建泰禾丽春湖院子,50000,2100,3800,1
昌平,温哥华森林,43478,2678,4486,0
昌平,国瑞熙墅,48000,1500,1600,1
昌平,金隅上城郡,45000,930,1650,1
昌平,凯德麓语,35000,850,3450,1
昌平,中海丽春湖墅·合院,36000,1000,1000,1
昌平,金辰府,55650,500,500,0
昌平,天樾书院,40000,1425,1600,1
昌平,玖瀛府,48000,800,1900,1
昌平,北京风景,43000,600,750,1
昌平,北清云际,62000,525,760,1
昌平,奥森春晓,63000,605,825,1
昌平,京基鹭府,51000,3000,18000,0
朝阳,润泽御府,110000,5480,25000,0
朝阳,福景苑,80000,1200,2100,0
朝阳,北京书院,150000,800,1946,1
朝阳,天润福熙大道,110000,1400,5161,0
朝阳,尊悦光华,130000,2600,2680,1
朝阳,富兴首府,85000,1076,1450,1
朝阳,懋源·璟玺,86000,4400,7000,1
朝阳,中海首开拾光里,70000,850,1400,1
朝阳,华樾国际领尚,71000,740,1100,1
朝阳,傲云,100000,2500,2500,0
朝阳,傲云,100000,2700,4000,0
朝阳,朝阳一墅,65000,800,1500,1
朝阳,保利锦上,71000,800,1100,1
朝阳,龙樾合玺,88000,1100,1600,1
朝阳,青云上府,66120,875,1075,1
朝阳,和光悦府,88000,1060,1500,1
朝阳,朝阳壹号,71000,780,1240,1
朝阳,德贤御府,80000,580,1152,0
朝阳,绿城沁园,65000,500,1000,1
朝阳,建发·望京养云,70400,880,1200,1
大兴,华远和墅,54000,1350,1350,1
大兴,中国铁建花语金郡,70000,1000,1060,1
大兴,绿地海珀云翡,65000,700,1300,1
大兴,文化都汇,35000,0,0,0
大兴,鸿坤新都荟,55000,0,0,0
大兴,兴创荣墅,23000,530,1650,1
大兴,兴创国际中心,38000,5075,5075,0
大兴,首创悦都汇,25000,0,0,0
大兴,龙熙瓦德拉玛庄园,35000,1700,1700,0
大兴,首创悦都汇,26000,0,0,0
大兴,中铁华侨城和园,62000,950,1100,1
大兴,中海云筑,37000,340,340,1
大兴,中海云筑,37000,900,900,0
大兴,住总正华·时代广场,55000,404,404,1
大兴,中海云熙,37700,309,335,1
大兴,海晏春秋,52449,1850,1900,1
大兴,天恒世界集,55000,300,300,0
大兴,中铁华侨城和园,50000,1450,1630,1
大兴,中国铁建国际公馆,55330,830,830,1
大兴,北京城建宽院国誉府,31000,350,350,0
大兴,北京城建宽院国誉府,31000,370,370,1
大兴,住总如院,31000,314,470,1
大兴,住总如院,22728,450,990,1
大兴,和悦春风,37000,260,410,1
大兴,融创公园壹号,40000,370,370,1
大兴,电建·洺悦湾,54715,610,950,1
大兴,保利绿城·和锦诚园,63000,800,960,1
大兴,路劲·御合院,29000,260,260,1
大兴,熙红印,64400,465,880,1
大兴,熙悦宸著,64400,935,935,1
大兴,北京壹号总部,28000,9000,9000,0
大兴,住总兴创如遇,27000,178,270,1
大兴,花语巷,60000,262,262,0
大兴,航城壹号,32000,310,650,1
大兴,路劲·御合院,26500,410,666,1
大兴,中海京叁號院,70000,1100,1724.235,1
大兴,合生me悦,63500,370,760,1
大兴,和悦璞云,30000,150,330,1
大兴,中骏金辉未来云城,53000,500,880,1
